repeat_id,all_Hit@1,all_Hit@3,all_MRR,ge2_Hit@1,ge2_Hit@3,ge2_MRR,ge3_Hit@1,ge3_Hit@3,ge3_MRR
104,0.9411764705882353,0.957983193277311,0.9570828331332533,0.125,0.375,0.36160714285714285,0.0,0.16666666666666666,0.23214285714285712
105,0.9495798319327731,0.9831932773109243,0.968312324929972,0.25,0.75,0.5286458333333334,0.16666666666666666,0.6666666666666666,0.45486111111111116
106,0.957983193277311,0.9831932773109243,0.9717086834733893,0.375,0.75,0.5791666666666666,0.3333333333333333,0.6666666666666666,0.5222222222222223
107,0.9663865546218487,0.9915966386554622,0.9803921568627452,0.5,0.875,0.7083333333333334,0.5,0.8333333333333334,0.6944444444444443
108,0.9411764705882353,0.9663865546218487,0.9594579008073819,0.125,0.5,0.39693627450980395,0.0,0.3333333333333333,0.2792483660130719
109,0.957983193277311,0.9831932773109243,0.9729691876750701,0.375,0.75,0.5979166666666667,0.16666666666666666,0.6666666666666666,0.46388888888888885
110,0.9495798319327731,0.9831932773109243,0.9662114845938374,0.25,0.75,0.49739583333333337,0.3333333333333333,0.6666666666666666,0.49652777777777773
111,0.9495798319327731,0.9747899159663865,0.9660114045618247,0.25,0.625,0.49441964285714285,0.16666666666666666,0.5,0.40922619047619047
112,0.9663865546218487,0.9831932773109243,0.9756302521008404,0.5,0.75,0.6375,0.3333333333333333,0.6666666666666666,0.5166666666666667
113,0.957983193277311,0.9831932773109243,0.971438575430172,0.375,0.75,0.5751488095238095,0.16666666666666666,0.6666666666666666,0.43353174603174605
114,0.957983193277311,0.9663865546218487,0.9684873949579832,0.375,0.5,0.53125,0.3333333333333333,0.3333333333333333,0.4583333333333333
115,0.957983193277311,0.9747899159663865,0.9681372549019608,0.375,0.625,0.5260416666666666,0.16666666666666666,0.5,0.3680555555555555
116,0.9411764705882353,0.9831932773109243,0.9619047619047618,0.125,0.75,0.4333333333333333,0.0,0.6666666666666666,0.3277777777777778
117,0.9411764705882353,0.9915966386554622,0.9656862745098038,0.125,0.875,0.48958333333333326,0.16666666666666666,0.8333333333333334,0.4861111111111111
118,0.9327731092436975,0.9747899159663865,0.9545518207282914,0.0,0.625,0.32395833333333335,0.0,0.5,0.2652777777777778
119,0.9495798319327731,0.9663865546218487,0.9614179004935307,0.25,0.5,0.42609126984126977,0.0,0.3333333333333333,0.23478835978835977
120,0.957983193277311,0.9747899159663865,0.9698879551820728,0.375,0.625,0.5520833333333333,0.16666666666666666,0.5,0.40277777777777773
121,0.957983193277311,0.9831932773109243,0.9733893557422969,0.375,0.75,0.6041666666666666,0.16666666666666666,0.6666666666666666,0.47222222222222227
122,0.957983193277311,0.957983193277311,0.9655195411497932,0.375,0.375,0.4871031746031746,0.16666666666666666,0.16666666666666666,0.3161375661375661
123,0.957983193277311,0.9747899159663865,0.9686674669867947,0.375,0.625,0.5339285714285714,0.16666666666666666,0.5,0.37857142857142856
124,0.957983193277311,0.9747899159663865,0.971218487394958,0.375,0.625,0.571875,0.3333333333333333,0.5,0.5125000000000001
125,0.9495798319327731,0.9663865546218487,0.9626450580232093,0.25,0.5,0.44434523809523807,0.16666666666666666,0.3333333333333333,0.3424603174603174
126,0.9495798319327731,0.9831932773109243,0.9654323267768645,0.25,0.75,0.48580586080586075,0.16666666666666666,0.6666666666666666,0.3977411477411477
127,0.9495798319327731,0.9915966386554622,0.9672268907563025,0.25,0.875,0.5125,0.0,0.8333333333333334,0.35000000000000003
128,0.957983193277311,0.9831932773109243,0.9722689075630252,0.375,0.75,0.5875,0.3333333333333333,0.6666666666666666,0.5333333333333333
129,0.9495798319327731,0.957983193277311,0.961764705882353,0.25,0.375,0.43125,0.16666666666666666,0.16666666666666666,0.325
130,0.9495798319327731,0.9831932773109243,0.9658263305322128,0.25,0.75,0.4916666666666666,0.16666666666666666,0.6666666666666666,0.4055555555555555
131,0.957983193277311,0.9747899159663865,0.9698179271708685,0.375,0.625,0.5510416666666667,0.16666666666666666,0.5,0.40138888888888885
132,0.957983193277311,0.9915966386554622,0.9716386554621849,0.375,0.875,0.578125,0.16666666666666666,0.8333333333333334,0.4375
133,0.9411764705882353,0.9663865546218487,0.9597338935574229,0.125,0.5,0.40104166666666663,0.0,0.3333333333333333,0.28472222222222227
134,0.9411764705882353,0.9831932773109243,0.9638188608776844,0.125,0.75,0.4618055555555556,0.16666666666666666,0.6666666666666666,0.4490740740740741
135,0.9411764705882353,0.9747899159663865,0.9603341336534613,0.125,0.625,0.4099702380952381,0.16666666666666666,0.5,0.37996031746031744
136,0.9495798319327731,0.9831932773109243,0.9671201814058956,0.25,0.75,0.5109126984126984,0.16666666666666666,0.6666666666666666,0.43121693121693117
137,0.9411764705882353,0.9747899159663865,0.9616479925303455,0.125,0.625,0.42951388888888886,0.0,0.5,0.3226851851851852
138,0.9495798319327731,0.9915966386554622,0.9726890756302521,0.25,0.875,0.59375,0.16666666666666666,0.8333333333333334,0.5416666666666666
139,0.9411764705882353,0.9915966386554622,0.9670868347338937,0.125,0.875,0.5104166666666667,0.0,0.8333333333333334,0.4305555555555555
140,0.957983193277311,0.9831932773109243,0.9704481792717086,0.375,0.75,0.5604166666666666,0.16666666666666666,0.6666666666666666,0.4138888888888889
141,0.9495798319327731,0.9747899159663865,0.9636904761904761,0.25,0.625,0.4598958333333333,0.16666666666666666,0.5,0.36319444444444443
142,0.9411764705882353,0.957983193277311,0.957923169267707,0.125,0.375,0.37410714285714286,0.0,0.16666666666666666,0.2488095238095238
143,0.957983193277311,0.9831932773109243,0.9736227824463118,0.375,0.75,0.6076388888888888,0.16666666666666666,0.6666666666666666,0.47685185185185186
144,0.9495798319327731,0.9747899159663865,0.9670168067226891,0.25,0.625,0.509375,0.16666666666666666,0.5,0.4291666666666667
145,0.9411764705882353,0.9663865546218487,0.9598039215686275,0.125,0.5,0.40208333333333335,0.0,0.3333333333333333,0.2861111111111111
146,0.9495798319327731,1.0,0.9719887955182072,0.25,1.0,0.5833333333333333,0.16666666666666666,1.0,0.5277777777777778
147,0.9327731092436975,0.9831932773109243,0.958063225290116,0.0,0.75,0.3761904761904762,0.0,0.6666666666666666,0.3349206349206349
148,0.957983193277311,0.9663865546218487,0.9669701213818862,0.375,0.5,0.5086805555555556,0.16666666666666666,0.3333333333333333,0.3449074074074074
149,0.9411764705882353,0.9747899159663865,0.9629651860744297,0.125,0.625,0.4491071428571428,0.16666666666666666,0.5,0.43214285714285716
150,0.9411764705882353,0.9747899159663865,0.956646294881589,0.125,0.625,0.35511363636363635,0.0,0.5,0.22348484848484848
151,0.9495798319327731,0.9831932773109243,0.9687675070028012,0.25,0.75,0.5354166666666667,0.3333333333333333,0.6666666666666666,0.5472222222222222
152,0.957983193277311,0.9831932773109243,0.9719187675070028,0.375,0.75,0.5822916666666667,0.3333333333333333,0.6666666666666666,0.5263888888888889
153,0.957983193277311,0.9831932773109243,0.9736227824463118,0.375,0.75,0.6076388888888888,0.3333333333333333,0.6666666666666666,0.5601851851851852
154,0.9411764705882353,0.9747899159663865,0.961764705882353,0.125,0.625,0.43125,0.16666666666666666,0.5,0.4083333333333334
155,0.9495798319327731,0.9915966386554622,0.969187675070028,0.25,0.875,0.5416666666666666,0.3333333333333333,0.8333333333333334,0.5555555555555555
156,0.9411764705882353,0.9747899159663865,0.9628851540616248,0.125,0.625,0.44791666666666663,0.16666666666666666,0.5,0.4305555555555555
157,0.9411764705882353,0.9747899159663865,0.9587635054021608,0.125,0.625,0.3866071428571428,0.0,0.5,0.2654761904761904
158,0.9411764705882353,0.9663865546218487,0.9582633053221289,0.125,0.5,0.37916666666666665,0.0,0.3333333333333333,0.25555555555555554
159,0.9495798319327731,0.9831932773109243,0.9687675070028012,0.25,0.75,0.5354166666666667,0.16666666666666666,0.6666666666666666,0.46388888888888885
160,0.9495798319327731,0.9663865546218487,0.9612278244631185,0.25,0.5,0.4232638888888889,0.16666666666666666,0.3333333333333333,0.3143518518518518
161,0.9495798319327731,0.9915966386554622,0.9684873949579832,0.25,0.875,0.53125,0.16666666666666666,0.8333333333333334,0.4583333333333333
162,0.9411764705882353,0.957983193277311,0.957983193277311,0.125,0.375,0.37499999999999994,0.0,0.16666666666666666,0.25
163,0.9495798319327731,0.9663865546218487,0.9632352941176471,0.25,0.5,0.45312499999999994,0.16666666666666666,0.3333333333333333,0.3541666666666667
164,0.957983193277311,0.9747899159663865,0.9699813258636788,0.375,0.625,0.5534722222222223,0.3333333333333333,0.5,0.487962962962963
165,0.957983193277311,0.9747899159663865,0.9688375350140055,0.375,0.625,0.5364583333333333,0.16666666666666666,0.5,0.3819444444444444
166,0.9747899159663865,0.9831932773109243,0.9810924369747899,0.625,0.75,0.71875,0.5,0.6666666666666666,0.625
