doi,analyte,des_system_key,full_score,rank_baseline,is_optimal
10.1002/ansa.70039,Imidacloprid,Menthol || Thymol || 01:02,0.9974718983501168,1.0,True
10.1016/j.microc.2024.109955,Oxadiazon,Betaine || Propylene glycol || 01:04,0.9984373250222592,1.0,True
10.1016/j.microc.2024.109955,Pendimethalin,Betaine || Propylene glycol || 01:04,0.9993590577945863,1.0,True
10.1016/j.microc.2024.109955,Pirimiphos-ethyl,Betaine || Propylene glycol || 01:04,0.9943151793789686,1.0,True
10.1016/j.microc.2024.109955,Pirimiphos-methyl,Betaine || Propylene glycol || 01:04,0.9930711673695829,1.0,True
10.1016/j.microc.2024.109955,Pyridaben,Betaine || Propylene glycol || 01:04,0.9961802635572973,1.0,True
10.1016/j.microc.2024.109955,Tebufenpyrad,Betaine || Propylene glycol || 01:04,0.9991331886913235,1.0,True
10.1016/j.microc.2024.109955,Tolclofos-methyl,Betaine || Propylene glycol || 01:04,0.9846095758433085,1.0,True
10.1016/j.microc.2025.113881,Aldrin,Choline chloride || p-chlorophenol || 01:02,0.9913708790630055,1.0,True
10.1016/j.microc.2025.113881,DDE,Choline chloride || p-chlorophenol || 01:02,0.970242435473573,1.0,True
10.1016/j.microc.2025.113881,DDT,Choline chloride || p-chlorophenol || 01:02,0.9666591304662311,1.0,True
10.1016/j.microc.2025.113881,Dieldrin,Choline chloride || p-chlorophenol || 01:02,0.9972123170247805,1.0,True
10.1016/j.microc.2025.113881,Endosulfan,Choline chloride || p-chlorophenol || 01:02,0.9587727990860888,1.0,True
10.1016/j.seppur.2024.128637,Atrazine,Choline chloride || Methacrylic acid || 01:02,0.954952558688318,1.0,True
10.1016/j.seppur.2024.128637,Atrazine,Choline chloride || Methacrylic acid || 01:01,0.9284200300787887,4.0,False
10.1016/j.seppur.2024.128637,Atrazine,Choline chloride || Methacrylic acid || 01:01.5,0.9491576273666941,3.0,False
10.1016/j.seppur.2024.128637,Atrazine,Choline chloride || Methacrylic acid || 01:03,0.9521854005609138,2.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 01:03,0.5065306075513265,10.0,True
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Ethylene glycol || 01:03,0.33670376529563895,15.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Butylene glycol || 01:03,0.6030023396245775,7.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 01:01,0.37034429805988606,13.0,False
10.1016/j.talanta.2023.124831,Parathion,Choline chloride || Propylene glycol || 01:02,0.511350343932285,9.0,False
