feature,permutation_auc_mean_decrease,permutation_auc_sd,permutation_balanced_accuracy_mean_decrease,permutation_balanced_accuracy_sd,standardized_logistic_coefficient,abs_standardized_logistic_coefficient,feature_family
pair_logp_absdiff,0.008559259259259277,0.012153131881966322,0.012527777777777731,0.02723425187716091,-0.7516131742439337,0.7516131742439337,DES-analyte interaction
pair_hba_product,0.008220370370370388,0.01399751704907319,-0.012944444444444479,0.01172090566592998,0.31610091660004697,0.31610091660004697,DES-analyte interaction
analyte_heavyatoms,0.006837037037037046,0.012404357834183257,0.0023611111111110895,0.012494597597994221,0.2871926544678787,0.2871926544678787,Analyte descriptor
hba_ringcount,0.00623333333333336,0.0037329144385803057,0.005611111111111094,0.0069995590690052675,0.21197563071860026,0.21197563071860026,HBA descriptor
des_ringcount_absdiff,0.005766666666666682,0.014170055755350412,-0.01822222222222227,0.017357532964603115,-1.6604796259891497,1.6604796259891497,DES-level descriptor
des_tpsa_absdiff,0.0049074074074074445,0.0016620305890723973,-0.0013055555555555665,0.004076903478782497,-0.13205577466439786,0.13205577466439786,DES-level descriptor
ratio_hbd_part,0.0046666666666666965,0.010891770215911369,0.0002222222222221748,0.022347494128585447,-0.6355229301190596,0.6355229301190596,Composition / ratio
pair_ringcount_product,0.00385925925925928,0.003949676585534,0.004027777777777764,0.008562812578776871,0.20563812515626562,0.20563812515626562,DES-analyte interaction
des_logp_wmean,0.002914814814814841,0.00895607785751381,-0.01719444444444448,0.015845244058052845,-0.5937241531148255,0.5937241531148255,DES-level descriptor
hbd_ringcount,0.0025222222222222503,0.0074606549137533834,0.001749999999999956,0.014534468397741236,0.6697571874187027,0.6697571874187027,HBD descriptor
pair_molwt_product,0.001903703703703734,0.007697472551186449,0.0002777777777777546,0.016146990699259577,0.3934548426985788,0.3934548426985788,DES-analyte interaction
des_logp_absdiff,0.0014296296296296518,0.0021785177629174797,-0.011694444444444507,0.004714781719938541,-0.11095511769542861,0.11095511769542861,DES-level descriptor
ratio_hba_fraction,0.0014092592592593013,0.0021212629530011234,-0.002777777777777819,0.006236095644623262,-0.09598777421978943,0.09598777421978943,Composition / ratio
pair_tpsa_absdiff,0.0006629629629629807,0.01217832126839836,-0.0056666666666667,0.017168015049525694,0.24028608887789793,0.24028608887789793,DES-analyte interaction
des_hbd_wmean,0.0003611111111111209,0.004544636492666953,0.011638888888888872,0.014545294305023658,-0.32940625788481426,0.32940625788481426,DES-level descriptor
ratio_hba_part,0.0003055555555555789,0.004812080776460111,-0.00969444444444449,0.007775247604330182,0.3249679939096975,0.3249679939096975,Composition / ratio
pair_hbd_ratio,9.444444444446365e-05,0.0006860580026429278,-0.0006666666666666643,0.0015275252316519414,0.015794057339512443,0.015794057339512443,DES-analyte interaction
des_heavyatoms_absdiff,3.703703703730188e-06,0.0003997427156098427,0.00024999999999999914,0.0009895285072531563,-0.03209926179308938,0.03209926179308938,DES-level descriptor
hbd_rotbonds,-5.555555555525338e-06,0.010875612497139123,-0.010888888888888941,0.014704811507852847,-0.7807533261332466,0.7807533261332466,HBD descriptor
pair_logp_ratio,-0.0002777777777777568,0.0010097263614974614,-0.00033333333333333213,0.001130388330520874,0.6222942830024479,0.6222942830024479,DES-analyte interaction
pair_rotbonds_ratio,-0.00041851851851850476,0.0015078941793000827,-0.007055555555555597,0.005082953841329533,-0.08793514712360483,0.08793514712360483,DES-analyte interaction
pair_heavyatoms_absdiff,-0.0009185185185184719,0.0025975376120646533,-0.0024166666666666893,0.007113552098409793,0.05309045664958643,0.05309045664958643,DES-analyte interaction
des_rotbonds_absdiff,-0.0009518518518518083,0.0010220544682534361,-0.003305555555555593,0.006046948521341441,-0.06207236324943951,0.06207236324943951,DES-level descriptor
hba_hbd,-0.0010203703703703425,0.003310854762634455,-0.003611111111111129,0.0055346830125475935,-0.26818072144180594,0.26818072144180594,HBA descriptor
analyte_rotbonds,-0.0012148148148147819,0.013768037676228478,-0.04111111111111116,0.022140474639987976,1.1577785101683855,1.1577785101683855,Analyte descriptor
des_hba_wmean,-0.0012870370370370021,0.0022827595326000384,0.004416666666666647,0.006987036055403318,-0.16026773265944874,0.16026773265944874,DES-level descriptor
des_ringcount_wmean,-0.0026648148148147844,0.004555641748657634,-0.022388888888888923,0.01149557080566893,-0.30491705137734865,0.30491705137734865,DES-level descriptor
analyte_tpsa,-0.005288888888888867,0.009482125990826021,-0.004972222222222251,0.01396669870941256,0.21119781460893328,0.21119781460893328,Analyte descriptor
des_hba_absdiff,-0.006098148148148133,0.0042933023571972585,-0.029666666666666685,0.01136433667875728,0.45933562309804443,0.45933562309804443,DES-level descriptor
hba_rotbonds,-0.01150740740740739,0.005992652107931356,-0.03397222222222227,0.015250505962057957,0.6049543447820297,0.6049543447820297,HBA descriptor
